,expt,subj,SubjExptCA
1,e,17,37.5
2,e,115,37.5
3,e,110,50
4,e,24,62.5
5,e,42,62.5
6,e,101,62.5
7,e,64,66.6666666666667
8,e,48,70.8333333333333
9,e,69,70.8333333333333
10,e,96,70.8333333333333
11,e,116,70.8333333333333
12,e,21,75
13,e,25,75
14,e,32,75
15,e,34,75
16,e,53,75
17,e,59,75
18,e,79,75
19,e,97,75
20,e,55,79.1666666666667
21,e,65,79.1666666666667
22,e,102,79.1666666666667
23,e,111,79.1666666666667
24,e,5,79.1666666666667
25,e,9,79.1666666666667
26,e,19,79.1666666666667
27,e,29,79.1666666666667
28,e,31,79.1666666666667
29,e,40,79.1666666666667
30,e,57,79.1666666666667
31,e,62,79.1666666666667
32,e,71,79.1666666666667
33,e,75,79.1666666666667
34,e,87,79.1666666666667
35,e,89,79.1666666666667
36,e,92,79.1666666666667
37,e,3,83.3333333333333
38,e,14,83.3333333333333
39,e,16,83.3333333333333
40,e,22,83.3333333333333
41,e,27,83.3333333333333
42,e,36,83.3333333333333
43,e,46,83.3333333333333
44,e,49,83.3333333333333
45,e,50,83.3333333333333
46,e,52,83.3333333333333
47,e,58,83.3333333333333
48,e,66,83.3333333333333
49,e,70,83.3333333333333
50,e,80,83.3333333333333
51,e,81,83.3333333333333
52,e,85,83.3333333333333
53,e,88,83.3333333333333
54,e,90,83.3333333333333
55,e,91,83.3333333333333
56,e,99,83.3333333333333
57,e,2,83.3333333333333
58,e,4,83.3333333333333
59,e,20,83.3333333333333
60,e,47,83.3333333333333
61,e,51,83.3333333333333
62,e,56,83.3333333333333
63,e,60,83.3333333333333
64,e,95,83.3333333333333
65,e,105,83.3333333333333
66,e,1,87.5
67,e,6,87.5
68,e,7,87.5
69,e,10,87.5
70,e,12,87.5
71,e,18,87.5
72,e,23,87.5
73,e,26,87.5
74,e,33,87.5
75,e,37,87.5
76,e,38,87.5
77,e,41,87.5
78,e,44,87.5
79,e,45,87.5
80,e,61,87.5
81,e,67,87.5
82,e,68,87.5
83,e,72,87.5
84,e,82,87.5
85,e,83,87.5
86,e,93,87.5
87,e,100,87.5
88,e,103,87.5
89,e,107,87.5
90,e,109,87.5
91,e,112,87.5
92,e,113,87.5
93,e,8,91.6666666666667
94,e,11,91.6666666666667
95,e,15,91.6666666666667
96,e,35,91.6666666666667
97,e,43,91.6666666666667
98,e,54,91.6666666666667
99,e,63,91.6666666666667
100,e,73,91.6666666666667
101,e,74,91.6666666666667
102,e,76,91.6666666666667
103,e,77,91.6666666666667
104,e,84,91.6666666666667
105,e,94,91.6666666666667
106,e,98,91.6666666666667
107,e,104,91.6666666666667
108,e,106,91.6666666666667
109,e,108,91.6666666666667
110,e,114,91.6666666666667
111,e,13,95.8333333333333
112,e,28,95.8333333333333
113,e,30,95.8333333333333
114,e,78,95.8333333333333
115,e,86,95.8333333333333
116,e,39,100
117,filler,17,45.8333333333333
118,filler,110,47.9166666666667
119,filler,115,52.0833333333333
120,filler,101,64.5833333333333
121,filler,24,64.5833333333333
122,filler,44,68.75
123,filler,62,70.8333333333333
124,filler,96,70.8333333333333
125,filler,100,72.9166666666667
126,filler,53,72.9166666666667
127,filler,71,72.9166666666667
128,filler,80,72.9166666666667
129,filler,18,75
130,filler,61,75
131,filler,89,75
132,filler,30,77.0833333333333
133,filler,42,77.0833333333333
134,filler,48,77.0833333333333
135,filler,67,77.0833333333333
136,filler,35,77.0833333333333
137,filler,69,77.0833333333333
138,filler,15,79.1666666666667
139,filler,3,81.25
140,filler,19,81.25
141,filler,27,81.25
142,filler,29,81.25
143,filler,34,81.25
144,filler,47,81.25
145,filler,50,81.25
146,filler,51,81.25
147,filler,52,81.25
148,filler,64,81.25
149,filler,85,81.25
150,filler,88,81.25
151,filler,92,81.25
152,filler,103,81.25
153,filler,111,81.25
154,filler,2,83.3333333333333
155,filler,8,83.3333333333333
156,filler,12,83.3333333333333
157,filler,32,83.3333333333333
158,filler,55,83.3333333333333
159,filler,56,83.3333333333333
160,filler,60,83.3333333333333
161,filler,4,83.3333333333333
162,filler,46,83.3333333333333
163,filler,77,83.3333333333333
164,filler,87,83.3333333333333
165,filler,91,83.3333333333333
166,filler,95,83.3333333333333
167,filler,102,83.3333333333333
168,filler,21,85.4166666666667
169,filler,36,85.4166666666667
170,filler,45,85.4166666666667
171,filler,57,85.4166666666667
172,filler,63,85.4166666666667
173,filler,65,85.4166666666667
174,filler,81,85.4166666666667
175,filler,82,85.4166666666667
176,filler,5,85.4166666666667
177,filler,33,85.4166666666667
178,filler,59,85.4166666666667
179,filler,75,85.4166666666667
180,filler,76,85.4166666666667
181,filler,79,85.4166666666667
182,filler,99,85.4166666666667
183,filler,109,85.4166666666667
184,filler,113,85.4166666666667
185,filler,1,87.5
186,filler,10,87.5
187,filler,11,87.5
188,filler,13,87.5
189,filler,14,87.5
190,filler,40,87.5
191,filler,49,87.5
192,filler,58,87.5
193,filler,68,87.5
194,filler,72,87.5
195,filler,104,87.5
196,filler,105,87.5
197,filler,107,87.5
198,filler,112,87.5
199,filler,114,87.5
200,filler,116,87.5
201,filler,6,89.5833333333333
202,filler,22,89.5833333333333
203,filler,23,89.5833333333333
204,filler,43,89.5833333333333
205,filler,66,89.5833333333333
206,filler,73,89.5833333333333
207,filler,83,89.5833333333333
208,filler,93,89.5833333333333
209,filler,97,89.5833333333333
210,filler,98,89.5833333333333
211,filler,9,89.5833333333333
212,filler,16,89.5833333333333
213,filler,20,89.5833333333333
214,filler,37,89.5833333333333
215,filler,41,89.5833333333333
216,filler,54,89.5833333333333
217,filler,74,89.5833333333333
218,filler,78,89.5833333333333
219,filler,90,89.5833333333333
220,filler,94,89.5833333333333
221,filler,7,91.6666666666667
222,filler,25,91.6666666666667
223,filler,26,91.6666666666667
224,filler,31,91.6666666666667
225,filler,38,91.6666666666667
226,filler,39,91.6666666666667
227,filler,70,91.6666666666667
228,filler,86,91.6666666666667
229,filler,108,91.6666666666667
230,filler,28,93.75
231,filler,84,93.75
232,filler,106,93.75
